year,wealth_measure,median_white,median_black,gap_diff,gap_ratio
1989,net_wealth,166417.11275,9914.0147524,156503.0979976,16.78604651155209
1989,gross_assets,224794.52055,16369.652266,208424.868284,13.732394365939061
1992,net_wealth,144416.28788,20512.5,123903.78787999999,7.040404040463132
1992,gross_assets,214863.25758,36466.666667,178396.590913,5.892045454607934
1995,net_wealth,148640.77842,21134.860681,127505.917739,7.032967033164613
1995,gross_assets,225864.30783,37024.714728,188839.593102,6.100365917449993
1998,net_wealth,175003.53333,28261.666667,146741.866663,6.192258064325149
1998,gross_assets,261010.16667,45583.333333,215426.833337,5.726000000114998
2001,net_wealth,205742.31064,32309.410865,173432.899775,6.3678756477381535
2001,gross_assets,307140.29074,73156.541699,233983.74904100003,4.198398169280854
2004,net_wealth,221502.59246,32054.003591,189448.58886900003,6.9102941175870045
2004,gross_assets,347770.22621,68507.576302,279262.649908,5.076376146733529
2007,net_wealth,245445.23218,30051.013734,215394.21844599998,8.167619047816046
2007,gross_assets,384223.6756,74054.283846,310169.391754,5.188405797009859
2010,net_wealth,177211.61049,21716.104869,155495.505621,8.160377358601345
2010,gross_assets,319458.92634,56953.558052,262505.368288,5.609112709838534
2013,net_wealth,180615.00873,16648.656195,163966.352535,10.84862385375242
2013,gross_assets,297932.03025,48113.089005,249818.941245,6.192328042355342
2016,net_wealth,210906.42616,21152.311161,189754.114999,9.970845481361062
2016,gross_assets,325363.2469,56599.391206,268763.855694,5.748529091343103
2019,net_wealth,219205.72185,27936.847682,191268.874168,7.84647302892504
2019,gross_assets,354021.29801,60162.754967,293858.54304300004,5.884393063518866
2022,net_wealth,284310.0,44100.0,240210.0,6.446938775510204
2022,gross_assets,417200.0,103430.0,313770.0,4.033645944116794
