year,wealth_measure,shift_constant,share_nonpos
1989,net_wealth,48999465.57,0.10089542933178434
1989,gross_assets,11948717.42,0.04736680552002353
1992,net_wealth,674012.7424,0.0904684912488632
1992,gross_assets,7252.893939,0.03090975530844459
1995,net_wealth,27961460.39,0.0901685996235315
1995,gross_assets,27792091.19,0.03085736219153544
1998,net_wealth,27645745.67,0.09249818496838673
1998,gross_assets,27281079.0,0.023115799895090664
2001,net_wealth,5401029.615,0.08095486094979454
2001,gross_assets,26618.59755,0.022602497402906648
2004,net_wealth,388231.5494,0.0839362352688838
2004,gross_assets,1.0,0.017141432526394298
2007,net_wealth,341867.0562,0.08992175277160346
2007,gross_assets,1.0,0.02033222727239591
2010,net_wealth,9468222.723,0.12226777017055958
2010,gross_assets,8088772.036,0.020840109227656452
2013,net_wealth,288957285.5,0.11973084391991691
2013,gross_assets,2712280.93,0.017432894716714088
2016,net_wealth,2577709.207,0.1090522354621246
2016,gross_assets,1.0,0.004006579971139809
2019,net_wealth,729720.7351,0.1033791869456538
2019,gross_assets,1.0,0.003845728251625458
2022,net_wealth,463501.0,0.07451446085612502
2022,gross_assets,1.0,0.0018992189857443655
